id,bus0,bus1,length,build_year,p_nom,carrier,underwater_fraction,tags
PCI-1.2-01,ES0 4,FR0 6,341.0,2029,1000.0,DC,0.7,"{'pci_code': '1.2', 'corridor': 'NSI West Electricity', 'short_title': 'Biscay Gulf interconnection (ES, FR)', 'full_title': 'Interconnection between Gatica (ES) and Cubnezais (FR) [currently known as ""Biscay Gulf""]', 'description': '<p>A new 400 kV HVDC subsea cable interconnection of approximately 394 km with a capacity of 2x1000 MW between Nouvelle Aquitaine and the Basque country, via the Biscay Gulf (offshore), with VCS converters at the end.</p>\n', 'countries': 'ES, FR', 'promoters': ""RTE - Réseau de Transport d'Electricité (FR) ; REE - Red Eléctrica de España S.A.U. (ES)"", 'project_sheet': 'https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/2.7-0001-FRES-S-M-16.pdf ; https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/2.7-0013-FRES-W-M-17.pdf ; https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/2.7-0023-FRES-S-M-14.pdf', 'studies_works': 'Studies ; Works', 'object_id': '1612', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (-2.878 43.35, -2.878 43.35, -2.878 43.35, -2.878 43.35, -2.878 ...>}"
PCI-1.21-01,DE0 1,GB2 0,658.7,2030,1400.0,DC,0.85,"{'pci_code': '1.21', 'corridor': 'NSI West Electricity', 'short_title': 'Tarchon (DE, UK)', 'full_title': 'Interconnection between Emden areas (DE) and Corringham, Essex (UK) [currently known as Tarchon]', 'description': '<p style=""text-align:justify"">A new 1400 MW subsea direct current electricity&nbsp;interconnector of approximately 650 km between&nbsp;Niederlangen&nbsp;(previously Emden) areas in&nbsp;Germany and&nbsp;Ardleigh&nbsp;(previously Corringham) in&nbsp;the United Kingdom (UK), linking two VSC converter stations.&nbsp;</p>\n', 'countries': 'DE, UK', 'promoters': 'Tarchon Energy Ltd (UK)', 'project_sheet': 'Null', 'studies_works': 'Null', 'object_id': '4493', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (7.254 52.982, 7.238 53.102, 7.252 53.178, 7.236 53.234, 7.305 5...>}"
PCI-1.3-01,FR0 0,IE3 0,826.0,2027,700.0,DC,1.0,"{'pci_code': '1.3', 'corridor': 'NSI West Electricity', 'short_title': 'Celtic Interconnector (IE, FR)', 'full_title': 'Interconnection between La Martyre (FR) and Great Island or Knockraha (IE) [currently known as ""Celtic Interconnector""]', 'description': '<p>A new&nbsp; subsea interconnection between La Martyre (FR) and Knockraha (IE) [currently known as &quot;Celtic Interconnector&quot;] of approximately 581 km with a capacity of 700 MW. The interconnector will link two VSC converter stations with +/- 320 kV HVDC submarine and underground cables.</p>\n', 'countries': 'FR, IE', 'promoters': ""EirGrid plc (IE) ; RTE - Réseau de Transport d'Electricité (FR)"", 'project_sheet': 'https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/1.6-0010-FRIE-W-M-19.pdf ; https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/1.6-0024-FRIE-S-M-15.pdf ; https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/1.6-0024-IEFR-S-M-16.pdf', 'studies_works': 'Studies ; Works', 'object_id': '2246', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (-4.111 48.695, -4.11 48.697, -4.109 48.697, -4.109 48.698, -4.1...>}"
PCI-1.4.1-01,DE0 6,DE0 1,204.5,2027,2000.0,DC,0.0,"{'pci_code': '1.4.1', 'corridor': 'NSI West Electricity', 'short_title': 'A-Nord (DE)', 'full_title': 'Internal line from Emden-East to Osterath to increase capacity from Northern Germany to the Rhineland [currently known as “A-Nord”]', 'description': '<p>A grid expansion project [currently known as &quot;A-North&quot;] for low-loss transmission of high power over long distances from Northern Germany, a region characterised by a large number of regenerative onshore and offshore energy sources, to the high-production region of Rhineland. It consists of two new HVDC cables of 300 km with a transfer capacity of 2.4 GW connecting Emden-East to Osterath.</p>\n\n<p>Note: the project is split into different phases and first sections plan to start construction from May 2024.</p>\n', 'countries': 'DE', 'promoters': 'AMPRION GmbH (DE)', 'project_sheet': 'Null', 'studies_works': 'Null', 'object_id': '1035', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (6.626 51.261, 6.566 51.304, 6.743 51.693, 7.228 52.305, 7.419 5...>}"
PCI-1.5-01,DE0 9,DE0 4,733.3,2029,4000.0,DC,0.01,"{'pci_code': '1.5', 'corridor': 'NSI West Electricity', 'short_title': 'Suedlink (DE)', 'full_title': 'Internal line in Germany between Brunsbüttel/Wilster to Großgartach/Grafenrheinfeld to increase capacity at Northern and Southern borders [currently known as ""Suedlink""]', 'description': '<p>4 GW HVDC connection of approximately 700 km from Northern Germany (areas of Brunsb&uuml;ttel/Wilster) to Bavaria/Baden-W&uuml;rttemberg (areas of Gro&szlig;gartach/Grafenrheinfeld). North Germany is characterised by a high amount of RES, the feed-in exceeds the local load and therefore there is a high demand for transfer to the load centres in southern parts of Germany.</p>\n\n<p>Note: the project is split into different phases and the first sections started construction in 2023.</p>\n', 'countries': 'DE', 'promoters': ' TenneT TSO GmbH (DE)  ; TransnetBW GmbH (DE)', 'project_sheet': 'https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/2.10-0017-DE-S-M-16.pdf', 'studies_works': 'Studies', 'object_id': '1015', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (9.127 49.213, 9.695 49.232, 9.7 49.235, 9.71 49.236, 9.741 49.2...>}"
PCI-1.6-01,DE0 6,DE0 3,254.1,2027,2000.0,DC,0.0,"{'pci_code': '1.6', 'corridor': 'NSI West Electricity', 'short_title': 'Ultranet (DE)', 'full_title': 'Internal line between Osterath and Philippsburg (DE) to increase capacity at Western borders [currently known as ""Ultranet""]', 'description': '<p>The Ultranet project consists of a 2 GW HVDC-connection of approximately 340 km from the Region of Osterath (Rhineland) to the Region of Philippsburg (Baden-W&uuml;rttemberg). It&#39;s a pilot project with DC circuits on the same pylons as AC lines. It represents a separate subsection for the large-scale transmission link from the North Sea coast to Baden-W&uuml;rttemberg (together with project 1.4.1).</p>\n\n<p>Note: the project is split into different phases and the first sections started construction in 2023.</p>\n', 'countries': 'DE', 'promoters': 'Amprion GmbH (DE) ; TransnetBW GmbH (DE)', 'project_sheet': 'Null', 'studies_works': 'Null', 'object_id': '1003', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (6.626 51.261, 8.441 49.251)>}"
PCI-1.7.1-01,ES0 4,FR0 6,341.0,2030,2000.0,DC,0.0,"{'pci_code': '1.7.1', 'corridor': 'NSI West Electricity', 'short_title': 'Pyrenean crossing 1 (ES, FR)', 'full_title': 'Interconnection between Navarra (ES) and Landes (FR) [currently known as “Pyrenean crossing 1”]', 'description': '<p>A new 225 km HVDC interconnection between France and Spain in the Western part of the Pyrenees between Pamplona area (Spain) and Cantegrit (France). The project consists of a new HVDC line of 2 GW transfer capacity, internal reinforcements in France and a new substation in the Pamplona area.</p>\n', 'countries': 'ES, FR', 'promoters': ""RTE - Réseau de Transport d'Electricité (FR) ; REE - Red Eléctrica de España S.A.U. (ES)"", 'project_sheet': 'Null', 'studies_works': 'Null', 'object_id': '997', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (-1.733 42.859, -0.9 44.013)>}"
PCI-1.7.2-01,FR0 6,ES0 4,341.0,2030,2000.0,DC,0.0,"{'pci_code': '1.7.2', 'corridor': 'NSI West Electricity', 'short_title': 'Pyrenean crossing 2 (ES, FR)', 'full_title': 'Interconnection between Aragón region (ES) and Marsillon (FR) [currently known as “Pyrenean crossing 2”]', 'description': '<p>A new 145&nbsp;km HVDC interconnection between France and Spain located in the central part of the Pyrenees between Arag&oacute;n region (Spain) and Marsillon (France). The project consists of a new HVDC line of 2 GW transfer capacity, internal AC reinforcements and two substations in Spain.</p>\n', 'countries': 'ES, FR', 'promoters': ""REE - Red Eléctrica de España S.A.U. (ES) ; RTE - Réseau de Transport d'Electricité (FR)"", 'project_sheet': 'Null', 'studies_works': 'Null', 'object_id': '996', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (-0.6 43.386, -0.5 42.567, -1.134 42.127)>}"
PCI-2.2-01,DE0 5,DE0 12,623.5,2028,2000.0,DC,0.0,"{'pci_code': '2.2', 'corridor': 'NSI East Electricity', 'short_title': 'SuedOstLink (DE)', 'full_title': 'Internal line in Germany between Wolmirstedt and Isar [currently known as SuedOstLink]', 'description': '<p>A new undeground 525 kV DC cable (HVDC) of about 540 km in Germany from North-East Germany (area of Wolmirstedt), an area with high installed capacities of RES,&nbsp;to the South of Bavaria (area of Isar),&nbsp;with high consumption and connections to storage capabilities.&nbsp;</p>\n', 'countries': 'DE', 'promoters': '50Hertz Transmission (DE) ; TenneT (DE)', 'project_sheet': 'https://ec.europa.eu/assets/cinea/project_fiches/cef/cef_energy/3.12-0009-DE-S-M-17.pdf', 'studies_works': 'Studies', 'object_id': '1007', 'layer_name': 'Electricity line', 'geometry_type': 'esriGeometryPolyline', 'geometry': <LINESTRING (12.297 48.607, 11.606 52.624)>}"
